"Name","Asset","Asset_Address","Vault_Token","Vault_Token_Address","State","Value","Balance","Token_Per_Share","APR","Bouncer","If_Boostable","If_Experimental","If_Deprecated"
"Convex renBTC/wBTC/sBTC","crvsBTC","0x075b1bb99792c9E1041bA13afEf80C91a1e70fB3","bcrvsBTC","0xd04c48A53c111300aD41190D63681ed3dAd998eC","open",57434423.1213371,1300.70869802032,1.0140068683413,9.22902701763984,"none",TRUE,FALSE,FALSE
"Convex renBTC/wBTC","crvrenWBTC","0x49849C98ae39Fff122806C06791Fa73784FB3675","bcrvrenBTC","0x6dEf55d2e18486B9dDfaA075bc4e4EE0B28c1545","open",162153645.796379,3651.03441619551,1.01299024990133,6.40699630550201,"none",TRUE,FALSE,FALSE
"Convex tBTC/sBTC","crvtBTC","0x64eda51d3Ad40D56b9dFc5554E06F94e1Dd786Fd","bcrvtBTC","0xb9D076fDe463dbc9f915E5392F807315Bf940334","open",41587730.0153247,942.249822547665,1.02684446287306,10.828885050708,"none",TRUE,FALSE,FALSE
"Harvest renBTC/wBTC","crvrenWBTC","0x49849C98ae39Fff122806C06791Fa73784FB3675","bcrvhrenBTC","0xAf5A1DECfa95BAF63E0084a35c62592B774A2A87","open",20998005.4362598,472.788879600738,1.01739697513757,5.38621329564225,"none",FALSE,FALSE,FALSE
"Uniswap Wrapped BTC/Badger","BADGER-WBTC","0xcD7989894bc033581532D2cd88Da5db0A4b12859","bBADGER-WBTC","0x235c9e24D3FB2FAFd58a2E49D454Fdcd2DBf7FF1","open",9739450.62145385,0.0485851711846884,1.72525728640715,49.854917113392,"none",FALSE,FALSE,FALSE
"Uniswap Wrapped BTC/Digg","DIGG-WBTC","0xE86204c4eDDd2f70eE00EAd6805f917671F56c52","bDIGG-WBTC","0xC17078FDd324CC473F8175Dc5290fae5f2E84714","open",626441.800114963,5.86125772e-09,1.66823913610819,0,"none",FALSE,FALSE,TRUE
"Sushiswap Wrapped BTC/Wrapped ETH","SLP-WBTC-ETH","0xCEfF51756c56CeFFCA006cD410B03FFC46dd3a58","bSLP-WBTC-ETH","0x758A43EE2BFf8230eeb784879CdcFF4828F2544D","open",31487737.2454221,0.000558109460254031,1,13.0887969857142,"none",TRUE,FALSE,FALSE
"Sushiswap Wrapped BTC/Badger","SLP-BADGER-WBTC","0x110492b31c59716AC47337E616804E3E3AdC0b4a","bSLP-BADGER-WBTC","0x1862A18181346EBd9EdAf800804f89190DeF24a5","open",15611094.2077229,0.0843389807080394,1.37454457158564,35.7482828134934,"none",FALSE,FALSE,FALSE
"Sushiswap Wrapped BTC/Digg","SLP-DIGG-WBTC","0x9a13867048e01c663ce8Ce2fE0cDAE69Ff9F35E3","bSLP-DIGG-WBTC","0x88128580ACdD9c04Ce47AFcE196875747bF2A9f6","open",12217003.7807477,1.31165317883e-07,1.69798971802796,66.9435381964056,"none",FALSE,FALSE,FALSE
"Digg","DIGG","0x798D1bE841a82a273720CE31c822C61a67a601C3","bDIGG","0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a","open",10378696.2763025,231.18490576,0.182369600785424,10.7592828710887,"none",FALSE,FALSE,FALSE
"Badger","BADGER","0x3472A5A71965499acd81997a54BBA8D852C6E53d","bBADGER","0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28","open",61079905.6861826,3582399.16047991,1.23437249246772,3.38488869443102,"none",FALSE,FALSE,FALSE
"Yearn Wrapped BTC","WBTC","0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599","bvyWBTC","0x4b92d19c11435614CD49Af1b589001b7c08cD4D5","open",79464422.781659,1829.33361223,1.01348179999528,5.6005166976416,"none",TRUE,FALSE,FALSE
